Field-ID,continous,corresponding-column,use-2-Label
31,0,,1
12144,1,,1
20015,1,,1
21002,1,,1
21001,1,,1
2306,0,,1
46,1,,1
47,1,,1
48,1,,1
49,1,,1
1070,1,,1
1080,1,,1
1090,1,,1
1160,1,,1
1200,0,,1
20116,0,,1
20160,0,,1
1239,0,,1
1249,0,,1
1259,0,,1
1269,1,,1
1279,1,,1
20117,0,,1
1558,0,,1
1618,0,,1
1757,0,,1
1980,0,,1
1990,0,,1
2178,0,,1
2247,0,,1
2296,0,,1
3393,0,,1
22605,1,,1
864,1,,1
874,1,,1
884,1,,1
894,1,,1
904,1,,1
914,1,,1
924,0,,1
943,0,,1
971,0,,1
981,0,,1
4717,0,,1
1289,1,,1
1349,0,,1
1369,0,,1
1379,0,,1
1389,0,,1
1528,1,,1
30710,1,,1
30890,1,,1
30830,1,,1
23099,1,,1
23100,1,,1
23101,1,,1
23102,1,,1
23106,1,,1
102,1,,1
1001,1,,1
3079,0,,1
4079,1,,1
4080,1,,1
12336,1,,1
12338,1,,1
12340,1,,1
12673,1,,1
12674,1,,1
12675,1,,1
12676,1,,1
12677,1,,1
12678,1,,1
12679,1,,1
12680,1,,1
12681,1,,1
12682,1,,1
12683,1,,1
12684,1,,1
12685,1,,1
12686,1,,1
12687,1,,1
12702,1,,1
21021,1,,1
22330,1,,1
22333,1,,1
22334,1,,1
22420,1,,1
22421,1,,1
22422,1,,1
22423,1,,1
22424,1,,1
22425,1,,1
22426,1,,1
22427,1,,1
30000,1,,1
30010,1,,1
30040,1,,1
30050,1,,1
30070,1,,1
30090,1,,1
30110,1,,1
30130,1,,1
30140,1,,1
30180,1,,1
30190,1,,1
30270,1,,1
30290,1,,1
